lang,langCode,wordOrig,wordRom,pos,def
English,EN-US,to go,to go,verb,to move; travel
English,EN-US,to do,to do,verb,to perform an action
English,EN-US,house,house,noun,a building for human habitation
English,EN-US,bitter,bitter,adjective ,"having a sharp, unsweet taste; resentful"
English,EN-US,it,it,pronoun,refers to something previously identified
English,EN-US,yesterday,yesterday,noun,the day before today
English,EN-US,navel,navel,noun,the central point of a place
English,EN-US,to hide,to hide,verb,to put or keep out of sight
English,EN-US,to carry,to carry,verb,to support the weight of something
English,EN-US,ant,ant,noun,a small insect
English,EN-US,to take,to take,verb,to hold something; to remove
English,EN-US,thigh,thigh,noun,the part of the leg between the hip and knee
English,EN-US,wood,wood,noun,fibrous material from a tree or shrub
English,EN-US,to run,to run,verb,to move at a speed faster than a walk
English,EN-US,to cry,to cry,verb,to shed tears; to express grief
English,EN-US,sweet,sweet,verb,having a pleasant taste
English,EN-US,shadow,shadow,noun,a dark area cast by a body between a light source
English,EN-US,hard,hard,adjective,solid or firm
English,EN-US,to crush,to crush,verb,to compress or squeeze
English,EN-US,I,I,,
English,EN-US,you,you,,
English,EN-US,he,he,,
English,EN-US,we,we,,
English,EN-US,you,you,,
English,EN-US,they,they,,
English,EN-US,this,this,,
English,EN-US,that,that,,
English,EN-US,here,here,,
English,EN-US,there,there,,
English,EN-US,who,who,,
English,EN-US,what,what,,
English,EN-US,where,where,,
English,EN-US,when,when,,
English,EN-US,how,how,,
English,EN-US,not,not,,
English,EN-US,all,all,adjective,
English,EN-US,many,many,adjective,
English,EN-US,some,some,adjective,
English,EN-US,few,few,adjective,
English,EN-US,other,other,adjective,
English,EN-US,one,one,ordinal,
English,EN-US,two,two,ordinal,
English,EN-US,three,three,ordinal,
English,EN-US,four,four,ordinal,
English,EN-US,five,five,ordinal,
English,EN-US,big,big,adjective,
English,EN-US,long,long,adjective,
English,EN-US,wide,wide,adjective,
English,EN-US,thick,thick,adjective,
English,EN-US,heavy,heavy,adjective,
English,EN-US,small,small,adjective,
English,EN-US,short,short,adjective,
English,EN-US,narrow,narrow,adjective,
English,EN-US,thin,thin,adjective,
English,EN-US,woman,woman,noun,
English,EN-US,man,man,noun,
English,EN-US,child,child,noun,
English,EN-US,wife,wife,noun,
English,EN-US,husband,husband,noun,
English,EN-US,mother,mother,noun,
English,EN-US,father,father,noun,
English,EN-US,animal,animal,noun,
English,EN-US,fish,fish,noun,
English,EN-US,bird,bird,noun,
English,EN-US,dog,dog,noun,
English,EN-US,louse,louse,noun,
English,EN-US,snake,snake,noun,
English,EN-US,worm,worm,noun,
