lang,langCode,wordOrig,wordRom,pos,def
Bulgarian,BG,Айляк,Ailyak,Adjective,"The subtle art of doing everything calmly and without rushing, whilst enjoying the experience and life in general."
Chinese,ZH,关系,Guanxi,Noun,"Guanxi is often translated as ‘connections’, ‘relationships’ or ‘networks’ and refers to having a strong personal relationship with someone which involves moral obligations and exchanging favours. This is one of the essential ways of getting things done in traditional Chinese society. To build up good guanxi, you do things for people such as give them gifts, take them to dinner, or other favours. If you need to call in a favour then you ‘use up’ your guanxi."
Chinese,ZH,热闹,Ré nao,Adjective,"Usually translated as ‘lively’ or ‘bustling,’ but its true meaning goes beyond these adjectives. It refers to a fun, lively place with an inviting vibe that makes you want to be there."
Czech,CS,Litost,Litost,Adjective,"Litost is nearly untranslatable, but Czech writer Milan Kundera describes it as ‘a state of torment created by the sudden sight of one’s own misery’. "
Czech,CS,Mít kliku,Mít kliku,Verb,"This Czech verb means to have luck on your side or be lucky enough to achieve something. It literally means, ‘to have a door handle’."
Czech,CS,Prozvonit,Prozvonit,Verb,Prozvonitis when you call but only let it ring once so that the other person calls back without so you save money or minutes.
Danish,DA,Arbejdsglæde,Arbejdsglæde,Noun,"Pronounced [ah-bites-gleh-the], this compound word is make up of arbejde meaning ‘work’ and glæde meaning ‘happiness’ so arbejdsglæde literally means ‘job joy’, ‘job satisfaction’ or ‘happiness at work.’ It’s the heightened sense of happiness, fulfilment, and satisfaction you get from having a great job.  This untranslatable word also exists in the other Nordic languages, including Swedish, Norwegian, Finnish and Icelandic."
Danish,DA,Hygge,Hygge,Adjective,"Pronounced [HEU-guh], Hygge is a well-known Danish term that describes the emotional warmth created by relaxing in the company of loved ones such as good friends and family. Hygge usually involves spending the evening at home, and getting cozy by candlelit with warm blankets, and maybe some alcohol. Watching the glow of a roaring log burner is hygge and so too is building a snowman with your children – however old they are. Similar words are also found in German (gemütlichkeit), Swedish (gemytlig) and Norwegian (hyggelig)."
Dutch,NL,Uitwaaien,Uitwaaien,Verb,"Uitwaaien is an idiomatic Dutch expression which means to go out in windy weather, particularly into nature or a park, in order to refresh and clear one’s mind. Uitwaaien comes from the Dutch uit– ‘out-‘ and waaien, ‘to blow’, of wind."
Dutch,NL,Voorpret,Voorpret,Noun,"Voorpret is the build up of anticipation, joy or pleasure you feel ahead of the actual event such as setting up for a party and can’t help but dance as you do it. Voorpret literally means, ‘pre-fun’ but means more than just the anticipation of something fun, it’s enjoying the anticipation. It’s voorpret!"
Dutch,NL,Gezelligheid,Gezelligheid,Adjective,"This Dutch word combines the Danish concept of hygge and the German gemütlichkeit. Gezelligheid is the idea of being in a comfortable, cozy atmosphere with loved ones, catching up with an old friend, or just the general togetherness that gives people a warm feeling. It suggests a sense of closeness that many consider encompasses the heart of Dutch culture."
Dutch,NL,Epibreren,Epibreren,Adjective,"Pronounced [ep-i-BREER-un], epibreren describes giving the appearance of being busy and important in the workplace when in reality you’re being super lazy. This term comes with an interesting origin story too. It was originally coined by Simon Carmiggelt, a Dutch newspaper columnist who explained in one of his columns that this previously unknown term had been revealed to him in 1953 by a civil servant from whom he had requested some papers. The civil servant said that the papers still needed epibreren. Not knowing what he meant, Carmiggelt asked, and the civil servant eventually confessed that he had made it up to fend off enquiries."
Estonian,ET,Leiliviskaja,Leiliviskaja,Noun,A person who throws water on hot rocks to make steam in a sauna.
Finnish,FI,Hyppytyynytyydytys,Hyppytyynytyydytys,Adjective,"Finnish word literally means, ‘bouncy cushion satisfaction’. It describes the pleasure and satisfaction derived from sitting or bouncing on a bouncy cushion."
Finnish,FI,Jaksaa,Jaksaa,Adjective,"A severe absence of enthusiasm to do something. When you just don’t have enough strength, will power to do something or can’t be bothered."
Finnish,FI,Kaamos,Kaamos,Noun,"Kaamos is more than just Polar Night when there are 24 consecutive hours of darkness,  kaamos describes the longing for sunshine, and a feeling of depression and lack of motivation and enthusiasm. It signifies long dark days and bad weather, no social life, and a lack of inspiration."
Finnish,FI,Lieko,Lieko,Noun,A trunk of a tree that has submerged to the bottom of a lake.
Finnish,FI,Myötähäpeä,Myötähäpeä,Noun,Experiencing a shared embarrassment or shame when seeing someone else do something embarrassing
Finnish,FI,Poronkusema,Poronkusema,Noun,Poronkusema describes the distance a reindeer can comfortably travel before taking a break to urinate. 
Finnish,FI,Sauna,Sauna,Noun,A sauna is a small room used as a hot-air or steam bath for cleaning and refreshing the body. 
Finnish,FI,Sisu,Sisu,Adjective,"This Finnish term that can be roughly translated as strength of will, determination, perseverance, and acting rationally in the face of adversity. "
Finnish,FI,Tokka,Tokka,Noun,Finnish collective noun for a large herd of reindeer.
French,FR,Bérézina,Bérézina,Adjective,A sense of panic associated with a huge defeat
French,FR,Dépaysement,Dépaysement,Adjective,Dépaysement is a feeling of restlessness that comes with being away from your country of origin and feeling like a foreigner.
French,FR,Bricoleur,Bricoleur,Noun,A bricoleur is a handyman who uses whatever materials he can get his hands on to create a construction (or bricolage).
French,FR,Flâneur,Flâneur,Noun,Flâner is a verb meaning ‘to stroll’ but a flâneur is a person of leisure who enjoys wandering the streets and soaking in the city and surroundings and appreciating its beauty. 
French,FR,La douleur exquise,La douleur exquise,Adjective,"Describe all the feelings associated with unrequited love. La douleur exquise literally means ‘the exquisite pain’,  the pain of wanting something you can’t have, such as someone who will never return your feelings."
French,FR,L’appel du vide ,L’appel du vide ,Noun,"The little voice in your head telling you to do something stupid like jerking the steering wheel to the right and take a flying leap off the edge or staring out at the view from a balcony and have a sudden urge to jump over the ledge. In English, you might refer to it as the call of the Siren song."
French,FR,Retrouvailles,Retrouvailles,Noun,"Means ‘refindings’, referring to the reunion you would have with someone you care deeply for but haven’t seen in a long time. "
French,FR,L’esprit de l’escalier,L’esprit de l’escalier,Adjective,"Literally ‘stairwell wit’, l’esprit de l’escalier is the feeling that you’ve got the perfect comeback, but you think of it too late."
French,FR,Yaourt,Yaourt,Verb,"The need to sing along to a song even though you don’t know the lyrics. Instead, you use nonsensical noises that vaguely resemble the lyrics of a song."
French,FR,Sortable,Sortable,Adjective,Describes family members and friends that you can't take out without a fear of embaressment
French,FR,Empêchement,Empêchement,Noun,Something the prevents you; a polite reason to cancel plans
French,FR,Spleen,Spleen,Verb,To drag yourself around with a feeling of melancholy or dissastisfaction
French,FR,Voilà,Voilà,Interjection,"Very contextual: can range in meaning from ""finally"" or ""there it is"""
French,FR,Lèche-vitrines,Lèche-vitrines,Verb,"Literally ""to lick windows""; to wander around window shopping"
French,FR,Profiter,Profiter,Verb,To take advantage and to enjoy something like time with friends
French,FR,Frappadingue,Frappadingue,Verb,To act erratically
French,FR,Hurluberlu,Hurluberlu,Adjective,"Gentler than frappadingue, used to characterize someone who is an oddball"
French,FR,Tohu-bohu,Tohu-bohu,Noun,A loud scene of agitated confusion
French,FR,Crapoter,Crapoter,Verb,To not inhale when smoking a cigarette and then getting called a poser
